patent_number,patent_date,patent_title,patent_abstract,assignee_organization,assignee_key_id
10386845,2019-08-20,Autonomous vehicle parking,"Methods and systems autonomously parking and retrieving vehicles are disclosed. Available parking spaces or parking facilities may be identified, and the vehicle may be navigated to an available space from a drop-off location without passengers. Special-purpose sensors, GPS data, or wireless signal triangulation may be used to identify vehicles and available parking spots. Upon a user request or a prediction of upcoming user demand, the vehicle may be retrieved autonomously from a parking space. Other vehicles may be autonomously moved to facilitate parking or retrieval.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10387962,2019-08-20,Methods of reconstructing an accident scene using telematics data,"In systems and methods for accident scene reconstruction, accident data associated with a vehicle accident involving a driver may be collected. The accident data may include vehicle telematics and/or other data, and/or the driver may be associated with an insurance policy. The accident data may be analyzed and, based upon the analysis of the accident data, a sequence of events occurring before, during, and/or after the vehicle accident may be determined. Based upon the determined sequence of events, a virtual reconstruction of the vehicle accident and/or a scene of the vehicle accident may be generated. The virtual reconstruction may include images of vehicles and/or road, weather, traffic, or construction conditions at the time of the accident. Based upon the virtual reconstruction, fault of the driver, or lack thereof, for the accident may be determined. The determined fault may be used to handle an insurance claim associated with the vehicle accident.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10387963,2019-08-20,Method and system of generating a call agent avatar using artificial intelligence,"A method and system may generate a call agent avatar for responding to insurance-related inquiries. A user's client device such as a smart-phone, smart watch, or tablet computer, may receive an insurance-related inquiry or banking-related inquiry from the user. Several data sources may be utilized to automatically determine a response to the insurance-related inquiry or banking-related inquiry, and a call agent avatar may be displayed on the user's client device while the response is displayed/played by the client device. The call agent avatar may be animated to move in synchronization with the response so that it appears the call agent avatar is providing the response to the user.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10387964,2019-08-20,Systems and methods for generating data representative of multi-product insurance discounts and related user interface displays,The present disclosure generally relates to systems and methods for generating data representative of multi-product insurance discounts and related user interface displays. The systems and methods may include receiving personal data from an insurance customer and insurance product data. The systems and methods may further include generating data representative of multi-product insurance discounts based on personal data from an insurance customer and insurance product data. The systems and methods may further include generating displays of the multi-product discounts based on data representative of multi-product insurance discounts.,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10387966,2019-08-20,Identifying property usage type based upon smart sensor data,"A computer-implemented method for identifying a property usage type based upon sensor data includes, with customer permission or affirmative consent, receiving data generated by various sensors; generating a report that includes a listing of events recorded by each sensor; analyzing data from the report to determine a property usage type score; receiving data regarding types and levels of insurance coverage associated with the property usage type score; receiving data derived from a homeowner's insurance policy; comparing the types and levels of insurance coverage associated with the property usage type score with the types and levels of insurance coverage from the homeowner's current insurance policy; and transmitting a message to the homeowner to update their insurance policy if there are differences between (i) the insurance coverage that the homeowner has, and (ii) the insurance coverage the homeowner should have based upon the property usage type score.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10387967,2019-08-20,Systems and methods for generating vehicle insurance policy data based on empirical vehicle related data,"The present disclosure generally relates to a computer implemented system and method for automatically generating insurance policy related data. The system and method may determine a vehicle operator and generate empirical vehicle operator identity data. The system and method may further acquire empirical vehicle operation data related to the actual vehicle operator, and correlate the empirical vehicle operator identity data and the empirical vehicle operation data to generate vehicle insurance policy related data. The system and method may further include processing one or more insurance options, including underwriting and pricing, based at least in part on the vehicle insurance policy related data.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10388084,2019-08-20,Systems and methods for providing vehicular collision data,"A computer-implemented method is provided for providing a notification that includes a traverse classification. The method includes determining, at a computing system including one or more processors, a contact region based on information indicative of a location of vehicle contact and a location of a person associated with the vehicle contact. The method also includes performing, by the one or more processors, an assessment of one or more aspects of one or more routes associated with the contact region and the contact region. The method also includes based on the assessment, determining, by the one or more processors, one or more traverse classifications corresponding to the one or more routes associated with the contact region. The method also includes providing, by the computing system, a notification that includes a traverse classification of the one or more traverse classifications to one or more vehicle operators approaching the contact region.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10388135,2019-08-20,Systems and methods for analyzing sensor data to detect property intrusion events,"The present embodiments relate to identifying property intrusion events based upon sensor data received from smart devices populated about a home. A smart home controller may compare the sensor data to baseline sensor data to dynamically identify an intrusion event that may be occurring. The controller may generate a notification and determine an action to perform to facilitate damage or risk mitigation. Accordingly, an individual associated with the home may be notified of the event, and then select to perform the action, such as via their mobile device. In some implementations, the controller may automatically perform the action. As a result, in response to computer identification of an intrusion event, corrective action may be taken or prompted, or otherwise any damage caused by the intrusion event may be mitigated, reducing insurance claims or claim amounts associated with intrusion events. Insurance discounts may be provided based upon the risk mitigation functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10394638,2019-08-27,Application health monitoring and reporting,"A method may include retrieving data about the health of a plurality of applications executing in a computing environment. The method may also include determining a plurality of indications of health based upon the data about the health of the plurality of applications, and determining an indication of an overall health of a portion of the computing environment based upon the plurality of indications of health of the plurality of applications. Still further, the method may include generating a plurality of visual elements to be displayed on remote user devices, where the plurality of visual elements may present the indications of health and/or the indication of overall health, and sending the plurality of visual elements to at least one of the remote user devices. The health indications may include both availability (expressed as a percentage) and performance (expressed as time) indications of health.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10395332,2019-08-27,Coordinated autonomous vehicle automatic area scanning,"Methods and systems for autonomous and semi-autonomous vehicle control, routing, and automatic feature adjustment are disclosed. Sensors associated with autonomous operation features may be utilized to search an area for missing persons, stolen vehicles, or similar persons or items of interest. Sensor data associated with the features may be automatically collected and analyzed to passively search for missing persons or vehicles without vehicle operator involvement. Search criteria may be determined by a remote server and communicated to a plurality of vehicles within a search area. In response to which, sensor data may be collected and analyzed by the vehicles. When sensor data generated by a vehicle matches the search criteria, the vehicle may communicate the information to the remote server.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10399573,2019-09-03,Systems and methods for assessing vehicle operation in a direction of sunlight,"Systems and methods for assessing vehicle operation are provided. According to certain aspects, an electronic device may receive and analyze image data depicting an individual located within a vehicle. The electronic device may also access and compile certain data related to an environment of the vehicle, and specifically to the vehicle's position relative to the sun. According to embodiments, the electronic device may determine, based on the accessed data, whether the vehicle is traveling into a direction of the sun, and may generate and record an indication of the same.","BLUEOWL, LLC",35632
10403150,2019-09-03,System for identifying high risk parking lots,"Systems and methods are disclosed for identifying high risk parking lots. High risk parking lots may be, for example, parking lots that pose a higher than average risk of collisions and/or theft. Auto insurance claim data may be analyzed to identify hazardous areas. A virtual navigation of roads within the hazardous area may be identified. Public parking lots within the virtual navigation map may be defined, with each public parking lot determined as either in a hazardous area or not. A vehicle may be determined to be approaching or parking in a parking lot in a hazardous area, and a nearby public parking lot not associated with the hazardous area may be selected instead. A route from a current position to the nearby public parking lot may be generated, and the vehicle may be routed to the nearby public parking lot. As a result, collisions and thefts may be reduced.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10404859,2019-09-03,Voice and speech recognition for call center feedback and quality assurance,"A computer-implemented method for providing an objective evaluation to a customer service representative regarding his performance during an interaction with a customer may include receiving a digitized data stream corresponding to a spoken conversation between a customer and a representative; converting the data stream to a text stream; generating a representative transcript that includes the words from the text stream that are spoken by the representative; comparing the representative transcript with a plurality of positive words and a plurality of negative words; and generating a score that varies according to the occurrence of each word spoken by the representative that matches one of the positive words, and/or the occurrence of each word spoken by the representative that matches one of the negative words. Tone of voice, as well as response time, during the interaction may also be monitored and analyzed to adjust the score, or generate a separate score.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10407079,2019-09-10,"Apparatuses, systems and methods for determining distracted drivers associated with vehicle driving routes","Apparatuses, systems and methods are provided for determining vehicle driver distractions. More particularly, apparatuses, systems and methods are provided for determining distracted drivers associated with vehicle driving routes based on postures of vehicle occupants.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10409953,2019-09-10,"Bio-sample collection kits, systems and methods for generating biomarker data for use in determining an insurance score","The present disclosure generally relates to bio-sample, such as a dried blood spot (DBS) sample, a breath sample, an endothelial sample, saliva sample, etc., collection kits and identity authenticating mechanisms for the sample donors. The present disclosure further relates to systems and methods for generating biomarker data using bio-sample analysis information and authenticating information. The biomarker data may be used to determine an insurance score.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10410291,2019-09-10,Systems and methods for analyzing unmanned aerial missions,A system for determining drone operation rules configured to (i) receive a plurality of telematics data from a plurality of missions; (ii) analyze the plurality of telematics data to determine one or more mission trends; and (iii) determine one or more rules based upon the one or more mission trends.,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10414408,2019-09-17,Real-time driver monitoring and feedback reporting system,"Real-time feedback may be generated during a driving session from status data collected via one or more sensors. This feedback data may include various metrics related to a student's driving skills, which may be utilized to generate tagged driving events. A user may also manually enter tagged driving events. The tagged driving events may include real-time information based on the collected status data, such as acceleration, braking, cornering data, descriptions entered by the user. The location of these tagged driving events may be mapped in real time. Sensors used to collect this data may be integrated within the device displaying the feedback or located on another device, in which case the status data may be communicated to the device displaying the feedback. The displayed real-time feedback may be viewed by an instructor to assess a student's driving skills in real time and to calculate a driver feedback score.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10415985,2019-09-17,Technology for generating alternate navigation directions for vehicles,"Systems and methods for generating alternate navigation directions for vehicles are provided. According to certain aspects, image sensor data of a vehicle operator may be used to determine the emotional state of vehicle operators in a plurality of vehicles in proximity to each other. The plurality of vehicles in proximity to each other may be considered to be a group of vehicles. If it is determined that more than one vehicle operator in the group of vehicles is frustrated, the electronic device of a vehicle operator of an approaching vehicle may notify the vehicle operator that there is a nearby group of vehicles with frustrated vehicle operators. The electronic device of the vehicle operator of the vehicle approaching the group of vehicles with frustrated vehicle operators may generate and provide alternate navigation directions to the vehicle operator in order to avoid the group of vehicles with frustrated vehicle operators.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10416670,2019-09-17,Autonomous vehicle control assessment and selection,"According to certain aspects, a computer-implemented method for operating an autonomous or semi-autonomous vehicle may be provided. With the customer's permission, an identity of a vehicle operator may be identified and a vehicle operator profile may be retrieved. Operating data regarding autonomous operation features operating the vehicle may be received from vehicle-mounted sensors. When a request to disable an autonomous feature is received, a risk level for the autonomous feature is determined and compared with a driver behavior setting for the autonomous feature stored in the vehicle operator profile. Based upon the risk level comparison, the autonomous vehicle retains control of vehicle or the autonomous feature is disengaged depending upon which is the safer driver—the autonomous vehicle or the vehicle human occupant. As a result, unsafe disengagement of self-driving functionality for autonomous vehicles may be alleviated. Insurance discounts may be provided for autonomous vehicles having this safety functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10417583,2019-09-17,Systems and methods for weather-related vehicle damage prevention,"A vehicle weather damage-prevention system is provided. The system may include a vehicle computing device associated with a vehicle, a covered parking location (CPL) computing device associated with a covered parking location, and an insurance computing device. The vehicle computing device may receive weather data and determine whether the vehicle is affected by inclement weather. The vehicle computing device may receive from the CPL computing device information indicating whether the covered parking location has available parking spots. The vehicle computing device may transmit a request to the CPL computing device to reserve a parking spot. The CPL computing device may selectively permit the vehicle access to the covered parking location. The insurance computing device may monitor the vehicle computing device and/or the CPL computing device and determine if an insurance policy is eligible for insurance-related benefits based upon a usage profile of the vehicle or the covered parking location.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10417914,2019-09-17,Systems and methods for determining a vehicle is at an elevated risk for an animal collision,"Methods and systems for displaying a user interface that warns a driver that a vehicle is located within or is near a geographical area (and/or intersection) associated with a higher than average risk of animal-vehicle and/or vehicle-vehicle collisions are provided. According to certain aspects, an electronic device may access a database that identifies a plurality of high risk areas, including areas associated with prior vehicle accidents. The electronic device may display a virtual road map, as well as an icon indicating the vehicle's current location and a plurality of visual indications of high-risk areas. When the electronic device detects that the current location of the vehicle is within and/or approaching a high-risk area, the electronic device may then warn the driver about the higher than average risk of experiencing a vehicle collision.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10423989,2019-09-24,Systems and methods to assess the condition of a vehicle,"A computer-implemented method includes receiving a vehicle condition query via a computer network and retrieving condition data corresponding to a vehicle from a vehicle condition database. Further, the method includes determining a condition of the vehicle based on a collective analysis of the condition data, wherein the condition of the vehicle relates to at least one of a quality or a value of the vehicle, and developing one or more condition descriptors reflecting the condition of the vehicle. Still further, the method includes generating a vehicle condition report including an indication of the one or more condition descriptors and communicating, via the computer network, the vehicle condition report to a remote computing device for presentation to a user of the remote computing device.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10426144,2019-10-01,Terrarium and related method of use,"A terrarium including a base, a support column, a top, and one or more arcuate panels with a closure is provided. The base can include one or more base channels, and the top can include one or more top channels. The top can be supported entirely by the support column at a first preselected distance from the base. One or more arcuate panels can extend between the top and the base, being disposed in the top channel and the base channel, and forming an opening. Another arcuate panel can form a closure over the opening, with that panel optionally slidable to selectively access an internal compartment of the terrarium. The support column can support the top and assist in holding the arcuate panels, as well as form a ventilation chimney associated with the internal compartment. Related methods of use are provided.",NA,NA
10428559,2019-10-01,Systems and methods for control systems to facilitate situational awareness of a vehicle,"Systems and methods for control systems for facilitating situational awareness of a vehicle are provided. Sensors located around a stationary vehicle may detect moving objects that pose potentially dangerous situations for the vehicle occupants and for the object. This can cause the doors to lock automatically in order to make the situation safer. Additionally, electromagnetic radiation sensors located around the vehicle may detect the lights and sounds of emergency vehicles. If the electromagnetic data from the electromagnetic radiation sensors match a known pattern of electromagnetic data emitted by emergency vehicles stored in a library an alarm may be sounded through the speakers of the vehicle in order to alert the vehicle occupants of an emergency vehicle in the vicinity.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10431018,2019-10-01,Autonomous vehicle operating status assessment,"Methods and systems for monitoring use, determining risk, and pricing insurance policies for a vehicle having one or more autonomous or semi-autonomous operation features are provided. According to certain aspects, the operating status and/or configuration of autonomous operation features of an autonomous or semi-autonomous vehicle may be determined, such as via an on-board computer system or mobile device, and/or then directly or indirectly wirelessly communicated via data transmission from the vehicle computer system or mobile device to a remote server. An adjustment to one or more risk levels associated with operation of the autonomous or semi-autonomous vehicle may also be determined, and an auto insurance policy, premium, or discount may be adjusted based upon the adjustment to the risk levels and presented to the customer for their review and approval. As a result, insurance cost savings may be passed onto risk averse customers that opt into to a rewards program.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10434311,2019-10-08,Method and apparatus for multimodal electrical modulation of pain,"Apparatus and methods for managing pain uses separate varying electromagnetic fields, with a variety of temporal and amplitude characteristics, which are applied to a particular neural structure to modulate glial and neuronal interactions as a mechanism for relieving chronic pain. In another embodiment, a single composite modulation/stimulation signal which has rhythmically varying characteristics is used to achieve the same results as separate varying electromagnetic fields. Also, disclosed is an apparatus and method for modulating the expression of genes involved in diverse pathways including inflammatory/immune system mediators, ion channels and neurotransmitters, in both the Spinal Cord (SC) and Dorsal Root Ganglion (DRG) where such expression modulation is caused by spinal cord stimulation or peripheral nerve stimulation using the disclosed apparatus and techniques. In one embodiment of multimodal modulation therapy, the prime signal may be monophasic, or biphasic, in which the polarity of the first phase of the biphasic prime signal may be either cathodic or anodic while the tonic signal may be either monophasic, or biphasic, with the polarity of the first phase of the biphasic tonic signal being either cathodic or anodic.","Stimgenics, LLC",342973
10434941,2019-10-08,Systems and methods for notification of exceeding speed limits,"A wearable device is provided that includes a receiver, a processor, and a transducer. The receiver is configured to receive speed limit data indicative of a posted speed limit corresponding to a route or road upon which the wearable device is traveling. The processor is configured to compare the speed limit to a current speed of the wearable device and/or a vehicle in which the user wearing the wearable device is driving. The transducer is configured to deliver a haptic or other notification to a user upon which the wearable device is worn when the current speed exceeds the speed limit or exceeds the speed limit by a predetermined amount. As a result, safer driving and vehicle collision avoidance may be facilitated. Safe driving auto insurance discounts may be provided to drivers that use the safe driving or speed limit warning functionality discussed herein.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
D837248,2019-01-01,Display screen with a graphical user interface for compressed insurance exploration menu,NA,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
D852925,2019-07-02,Fishing lure,NA,NA,NA
D859440,2019-09-10,Display screen with a graphical user interface for filing or managing an insurance claim,NA,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
D859455,2019-09-10,Display screen with a graphical user interface for insurance bill payment,NA,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
D861121,2019-09-24,Fishing lure,NA,NA,NA
